,type,0.0,0.25,0.5,1.0,2.0,4.0,order
1,Dragon,0.0,0.0,0.0,148.0,3.0,0.0,15.0
6,Ghost,0.0,0.0,0.0,148.0,3.0,0.0,14.0
13,Rock,0.0,0.0,22.0,86.0,38.0,5.0,13.0
0,Bug,0.0,2.0,33.0,71.0,34.0,11.0,12.0
12,Psychic,0.0,0.0,14.0,96.0,41.0,0.0,11.0
5,Flying,0.0,0.0,20.0,99.0,30.0,2.0,10.0
8,Ground,19.0,2.0,6.0,79.0,45.0,0.0,9.0
11,Poison,0.0,11.0,25.0,105.0,8.0,2.0,8.0
3,Fighting,3.0,9.0,46.0,64.0,29.0,0.0,7.0
9,Ice,0.0,3.0,29.0,86.0,32.0,1.0,6.0
7,Grass,0.0,23.0,41.0,46.0,31.0,10.0,5.0
2,Electric,14.0,0.0,24.0,65.0,47.0,1.0,4.0
14,Water,0.0,0.0,45.0,79.0,21.0,6.0,3.0
4,Fire,0.0,4.0,47.0,74.0,24.0,2.0,2.0
10,Normal,3.0,0.0,11.0,137.0,0.0,0.0,1.0
